site,link,date,year,rep,elev_m,bench,transect,meter_on_rock,myt_type,myt_present,near_lowerlimit,zone,year_zone,top_spp,bottom_spp,notes,n_layers,layer,species
Asilomar,Asilomar_0,5/19/2014,2014,0,1.193571429,1,0,0.43,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,1.161428571,1,0,0.48,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,1.129285714,1,0,0.53,,0,0,bed,2014_bed,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,1.097142857,1,0,0.58,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,1.065,1,0,0.63,,0,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,1.032857143,1,0,0.68,,0,0,zone2,2014_zone2,rock,rock,,1,layer1,rock
Asilomar,Asilomar_0,5/19/2014,2014,0,1.000714286,1,0,0.73,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.994285714,1,0,0.74,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.987857143,1,0,0.75,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.981428571,1,0,0.76,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.975,1,0,0.77,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.968571429,1,0,0.78,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.962142857,1,0,0.79,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.955714286,1,0,0.8,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.949285714,1,0,0.81,patch,1,0,zone2,2014_zone2,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.942857143,1,0,0.82,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.936428571,1,0,0.83,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.93,1,0,0.84,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.923571429,1,0,0.85,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.917142857,1,0,0.86,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
Asilomar,Asilomar_0,5/19/2014,2014,0,0.910714286,1,0,0.87,patch,1,0,zone3,2014_zone3,mytilus,mytilus,,1,layer1,mytilus
