site,date,year,rep,bench,horiz_m,lower_limit,upper_limit,sqrt(lower),sqt(upper),ln(lower)+1,ln(upper)+1,bottom,lower_elev_m,upper_elev_m,sqrt(lower_elev),sqrt(upper_elev),patch1_upper,patch1_lower,patch2_upper,patch2_lower,patch3_upper,patch3_lower,patch4_upper,patch4_lower,patch5_upper,patch5_lower,patch6_upper,patch6_lower,patch7_upper,patch7_lower,patch8_upper,patch8_lower,patch9_upper,patch9_lower,patch10_upper,patch10_lower,gap1_upper,gap1_lower,gap2_upper,gap2_lower,gap3_upper,gap3_lower,gap4_upper,gap4_lower,gap5_upper,gap5_lower,cliff_tidal_height_top (cm),cliff_tidal_height_bottom (cm),notes,lowest_mussel,sqrt_lowest_mussel,ln_lowest_mussel,highest_mussel,n_patches,n_gaps
Asilomar,4/5/2014,2014,0,1,0,,,,,,,-210,,,,,-88,-102,-124,-151,-187,-209,,,,,,,,,,,,,,,,,,,,,,,,,87,12,only patches,-209,-14.45683229,-5.342334252,-88,3,0
Asilomar,4/5/2014,2014,0.25,1,0.25,-187,-107,13.67479433,10.34408043,5.236441963,4.682131227,-236,-0.271034483,0.473793103,-0.520609722,0.688326306,-190,-236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,-236,-15.3622915,-5.463831805,-107,1,0
Asilomar,4/5/2014,2014,0.5,1,0.5,-137,-57,11.70469991,7.549834435,4.927253685,4.060443011,-207,0.16,0.96,0.4,0.979795897,-143,-159,-187,-207,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,gap from -27 to -52,-207,-14.38749457,-5.332718793,-57,2,0
Asilomar,4/5/2014,2014,0.75,1,0.75,-98,-73,9.899494937,8.544003745,4.59511985,4.304065093,-170,0.6088,0.8438,0.780256368,0.91858587,-130,-140,-144,-157,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,-157,-12.52996409,-5.056245805,-73,2,0
Asilomar,4/5/2014,2014,1,1,1,-102,-46,10.09950494,6.782329983,4.634728988,3.850147602,-170,0.930631579,1.325578947,0.964692479,1.151337895,-136,-142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,31,,-142,-11.91637529,-4.955827058,-46,1,0
Asilomar,4/5/2014,2014,1.25,1,1.25,-111,-51,10.53565375,7.141428429,4.718498871,3.951243719,-180,0.924439024,1.316634146,0.961477522,1.147446795,-138,-166,-171,-176,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,-176,-13.26649916,-5.170483995,-51,2,0
Asilomar,4/5/2014,2014,1.5,1,1.5,-142,-82,11.91637529,9.055385138,4.96284463,4.418840608,-223,0.717692308,1.179230769,0.847167225,1.085923924,-215,-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,-220,-14.83239697,-5.393627546,-82,1,0
Asilomar,4/5/2014,2014,1.75,1,1.75,-129,-47,11.35781669,6.8556546,4.86753445,3.871201011,-187,0.790615385,1.38774359,0.889165555,1.178025292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,-129,-11.35781669,-4.859812404,-47,0,0
Asilomar,4/5/2014,2014,2,1,2,-140,-60,11.83215957,7.745966692,4.94875989,4.110873864,-199,0.65,1.267142857,0.806225775,1.125674401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,38,,-140,-11.83215957,-4.941642423,-60,0,0
Asilomar,4/5/2014,2014,2.25,1,2.25,-112,-42,10.58300524,6.480740698,4.727387819,3.761200116,-165,0.926,1.416,0.962288938,1.189957982,-141,-154,-120,-124,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,-154,-12.40967365,-5.036952602,-42,2,0
